BIÊN BẢN NGHIỆM THU KIÊM YÊU CẦU CẬP NHẬT HỆ THỐNG (NHSV - HỆ THỐNG PHÁI SINH WTS)																	
		Tester/BA	CS	IT	DVTC												
	Tổng số case test	524	524	0	0												
Test result	Passed	262	290	288	0												
	Failed	4	12	12	0												
	N/A	258	0	218	0												
STT	Chức năng	Summary (Kịch bản kiểm thử)	Tiền điều kiện	Action (Các bước thực hiện)	Expect result (Kết quả mong muốn)	Ghi chú	Phong ban Test	KẾT QUẢ TEST UAT			KẾT QUẢ TEST Pilot						
								Tester	CS	DVTC	Tester	CS	DVTC				
1. Thị trường																	
Bảng giá phái sinh																	
TC_42				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường Giá mở cửa	Bước 5: Giá mở cửa ngày GD đầu tiên trong Tháng		DVKH	PASS	PASS								
TC_43				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường Giá cao nhất	Bước 5: Giá cao nhất trong Tháng	DL các bên chứng khoán đang khác nhau nên khó đối chiếu	DVKH	PASS	N/A								
TC_44				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường Giá thấp nhất	Bước 5: Giá thấp nhất trong Tháng	DL các bên chứng khoán đang khác nhau nên khó đối chiếu	DVKH	PASS	N/A								
TC_45				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường +/-	Bước 5: = Giá đóng cửa Tháng - giá TC của ngày GD đầu Tháng. Có đổ màu dựa trên chênh lệch so với giá TC	DL các bên chứng khoán đang khác nhau nên khó đối chiếu	DVKH	PASS	N/A								
TC_46				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường Tỷ lệ %	Bước 5: = (Giá đóng cửa Tháng - giá TC của ngày GD đầu Tháng)/ Giá tham chiếu ngày GD đầu Tháng. Có đổ màu so với 0%	DL các bên chứng khoán đang khác nhau nên khó đối chiếu	DVKH	PASS	N/A								
TC_47				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường KLGD	Bước 5: Tổng KLGD của mã HĐ trong Tháng 		DVKH	PASS	N/A								
TC_48				Bước 1: Đăng nhập thành công MTS Bước 2: Chọn chức năng Phái sinh >> Giá hiện tại Bước 3: Nhập mã HĐTL và bấm Enter Bước 4: Chọn Tháng Bước 5: Kiểm tra trường GTGD	Bước 5: Tổng GTGD của mã HĐ trong Tháng 		DVKH	PASS	N/A								
2. Màn hình Giao dịch																	
Kiểm tra thông tin thị trường trên màn hình Đặt lệnh																	
TC_49	Kiểm tra dữ liệu realtime			Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường Giá hiện tại	Bước 3: Hiển thị realtime giá hiện tại của HĐTL 	Dữ liệu chậm không được realtime	DVKH	PASS	PASS								
TC_50				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường Giá trần	Bước 3: Giá trần		DVKH	PASS	PASS								
TC_51				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường Tham chiếu	Bước 3: Giá TC		DVKH	PASS	PASS								
TC_52				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường Giá sàn	Bước 3: Giá sàn		DVKH	PASS	PASS								
